행정구,승객수,기준_날짜,시군구
11060,192345,20220322,동대문구
11060,190840,20220323,동대문구
11060,192838,20220324,동대문구
11060,202585,20220325,동대문구
11060,143236,20220326,동대문구
11060,119131,20220327,동대문구
11060,196744,20220328,동대문구
11060,199194,20220329,동대문구
11060,193977,20220330,동대문구
11060,200247,20220331,동대문구
11060,209373,20220401,동대문구
11060,162276,20220402,동대문구
11060,121829,20220403,동대문구
11060,200397,20220404,동대문구
11060,203155,20220405,동대문구
11060,205039,20220406,동대문구
11060,207207,20220407,동대문구
11060,214832,20220408,동대문구
11060,171195,20220409,동대문구
11060,133336,20220410,동대문구
11060,206398,20220411,동대문구
11060,208655,20220412,동대문구
11060,201271,20220413,동대문구
11060,206919,20220414,동대문구
11060,217542,20220415,동대문구
11060,168897,20220416,동대문구
11060,128411,20220417,동대문구
11060,205612,20220418,동대문구
11060,210793,20220419,동대문구
11060,212154,20220420,동대문구
11060,212711,20220421,동대문구
11060,212489,20220422,동대문구
11060,172209,20220423,동대문구
11060,128194,20220424,동대문구
11060,212486,20220425,동대문구
11060,16192,20220426,동대문구
11060,221231,20220427,동대문구
11060,223181,20220428,동대문구
11060,226766,20220429,동대문구
11060,179399,20220430,동대문구
11070,75952,20220101,중랑구
11070,84445,20220102,중랑구
11070,158895,20220103,중랑구
11070,162073,20220104,중랑구
11070,163716,20220105,중랑구
11070,163490,20220106,중랑구
11070,167879,20220107,중랑구
11070,123794,20220108,중랑구
11070,86582,20220109,중랑구
11070,161445,20220112,중랑구
11070,162206,20220113,중랑구
11070,165875,20220114,중랑구
11070,123298,20220115,중랑구
11070,90964,20220116,중랑구
11070,163693,20220117,중랑구
11070,164174,20220118,중랑구
11070,170661,20220119,중랑구
11070,168507,20220120,중랑구
11070,171221,20220121,중랑구
11070,127858,20220122,중랑구
11070,90303,20220123,중랑구
11070,165272,20220124,중랑구
11070,166887,20220125,중랑구
11070,170559,20220126,중랑구
11070,167224,20220127,중랑구
11070,169100,20220128,중랑구
11070,113921,20220129,중랑구
11070,84679,20220130,중랑구
11070,67239,20220131,중랑구
11070,62989,20220201,중랑구
11070,73374,20220202,중랑구
11070,155774,20220203,중랑구
11070,162732,20220204,중랑구
11070,113466,20220205,중랑구
11070,82098,20220206,중랑구
11070,161585,20220207,중랑구
11070,162454,20220208,중랑구
11070,163094,20220209,중랑구
11070,163968,20220210,중랑구
11070,164903,20220211,중랑구
11070,123117,20220212,중랑구
11070,86432,20220213,중랑구
11070,160357,20220214,중랑구
11070,159844,20220215,중랑구
11070,155487,20220216,중랑구
11070,153866,20220217,중랑구
11070,155872,20220224,중랑구
11070,161468,20220225,중랑구
11070,116056,20220226,중랑구
11070,86002,20220227,중랑구
11070,155269,20220228,중랑구
11070,94331,20220301,중랑구
11070,168800,20220302,중랑구
11070,166318,20220303,중랑구
11070,166073,20220304,중랑구
11070,120581,20220305,중랑구
11070,84416,20220306,중랑구
11070,162039,20220307,중랑구
11070,164243,20220308,중랑구
11070,101477,20220309,중랑구
11070,159027,20220310,중랑구
11070,163280,20220311,중랑구
11070,118345,20220312,중랑구
11070,74626,20220313,중랑구
11070,160662,20220315,중랑구
11070,160187,20220316,중랑구
11070,158093,20220317,중랑구
11070,161198,20220318,중랑구
11070,107863,20220319,중랑구
11070,85180,20220320,중랑구
11070,159152,20220321,중랑구
11070,160901,20220322,중랑구
11070,160305,20220323,중랑구
11070,160691,20220324,중랑구
11070,165523,20220325,중랑구
11070,113824,20220326,중랑구
11070,89201,20220327,중랑구
11070,162899,20220328,중랑구
11070,163854,20220329,중랑구
11070,162775,20220330,중랑구
11070,164326,20220331,중랑구
11070,170861,20220401,중랑구
11070,126388,20220402,중랑구
11070,93416,20220403,중랑구
11070,166955,20220404,중랑구
11070,169451,20220405,중랑구
11070,171124,20220406,중랑구
11070,171727,20220407,중랑구
11070,176882,20220408,중랑구
11070,134894,20220409,중랑구
11070,102069,20220410,중랑구
11070,172726,20220411,중랑구
11070,175049,20220412,중랑구
11070,171813,20220413,중랑구
11070,173362,20220414,중랑구
11070,180758,20220415,중랑구
11070,133521,20220416,중랑구
11070,100180,20220417,중랑구
11070,173181,20220418,중랑구
11070,177593,20220419,중랑구
11070,179398,20220420,중랑구
11070,178222,20220421,중랑구
11070,178308,20220422,중랑구
11070,135085,20220423,중랑구
11070,98234,20220424,중랑구
11070,177680,20220425,중랑구
11070,16569,20220426,중랑구
11070,182590,20220427,중랑구
11070,182559,20220428,중랑구
11070,186269,20220429,중랑구
11070,137023,20220430,중랑구
11080,104911,20220101,성북구
11080,119074,20220102,성북구
11080,217531,20220103,성북구
11080,224506,20220104,성북구
11080,226404,20220105,성북구
11080,226337,20220106,성북구
11080,231224,20220107,성북구
11080,169055,20220108,성북구
11080,125159,20220109,성북구
11080,224005,20220112,성북구
11080,224984,20220113,성북구
11080,229827,20220114,성북구
11080,169461,20220115,성북구
11080,128436,20220116,성북구
11080,225934,20220117,성북구
11080,228837,20220118,성북구
11080,238710,20220119,성북구
11080,234965,20220120,성북구
11080,239753,20220121,성북구
11080,174605,20220122,성북구
11080,131932,20220123,성북구
11080,230483,20220124,성북구
11080,233079,20220125,성북구
11080,239124,20220126,성북구
11080,234268,20220127,성북구
11080,234866,20220128,성북구
11080,153037,20220129,성북구
11080,114643,20220130,성북구
11080,89392,20220131,성북구
11080,84411,20220201,성북구
11080,101040,20220202,성북구
11080,214574,20220203,성북구
11080,225971,20220204,성북구
11080,155364,20220205,성북구
11080,118030,20220206,성북구
11080,220968,20220207,성북구
11080,223267,20220208,성북구
11080,226960,20220209,성북구
11080,226072,20220210,성북구
11080,228148,20220211,성북구
11080,167224,20220212,성북구
11080,126339,20220213,성북구
11080,220472,20220214,성북구
11080,220152,20220215,성북구
11080,215198,20220216,성북구
11080,213504,20220217,성북구
11080,216449,20220224,성북구
11080,226296,20220225,성북구
11080,159162,20220226,성북구
11080,127315,20220227,성북구
11080,217975,20220228,성북구
11080,136167,20220301,성북구
11080,241257,20220302,성북구
11080,234309,20220303,성북구
11080,235437,20220304,성북구
11080,168601,20220305,성북구
11080,125891,20220306,성북구
11080,229629,20220307,성북구
11080,235314,20220308,성북구
11080,147228,20220309,성북구
11080,228860,20220310,성북구
11080,234220,20220311,성북구
11080,164817,20220312,성북구
11080,111823,20220313,성북구
11080,230715,20220315,성북구
11080,234957,20220316,성북구
11080,230379,20220317,성북구
11080,231794,20220318,성북구
11080,151256,20220319,성북구
11080,124695,20220320,성북구
11080,232339,20220321,성북구
11080,236091,20220322,성북구
11080,236463,20220323,성북구
11080,235268,20220324,성북구
11080,241302,20220325,성북구
11080,160418,20220326,성북구
11080,132669,20220327,성북구
11080,238397,20220328,성북구
11080,241944,20220329,성북구
11080,240127,20220330,성북구
11080,243437,20220331,성북구
11080,250385,20220401,성북구
11080,179580,20220402,성북구
11080,137633,20220403,성북구
11080,244545,20220404,성북구
11080,249440,20220405,성북구
11080,253732,20220406,성북구
11080,252981,20220407,성북구
11080,257832,20220408,성북구
11080,191075,20220409,성북구
11080,152482,20220410,성북구
11080,254780,20220411,성북구
11080,257492,20220412,성북구
11080,253738,20220413,성북구
11080,254624,20220414,성북구
11080,261498,20220415,성북구
11080,190504,20220416,성북구
11080,147674,20220417,성북구
11080,251649,20220418,성북구
11080,258985,20220419,성북구
11080,259734,20220420,성북구
11080,258481,20220421,성북구
11080,253838,20220422,성북구
11080,191108,20220423,성북구
11080,145624,20220424,성북구
11080,256476,20220425,성북구
11080,20392,20220426,성북구
11080,272375,20220427,성북구
11080,270531,20220428,성북구
11080,271087,20220429,성북구
11080,199075,20220430,성북구
11090,87827,20220101,강북구
11090,96974,20220102,강북구
11090,163904,20220103,강북구
11090,166578,20220104,강북구
11090,167418,20220105,강북구
11090,167585,20220106,강북구
11090,173769,20220107,강북구
11090,135059,20220108,강북구
11090,99659,20220109,강북구
11090,164717,20220112,강북구
11090,165866,20220113,강북구
11090,171817,20220114,강북구
11090,135345,20220115,강북구
11090,102656,20220116,강북구
11090,168116,20220117,강북구
11090,167371,20220118,강북구
11090,171394,20220119,강북구
11090,171720,20220120,강북구
11090,178057,20220121,강북구
11090,137992,20220122,강북구
11090,103499,20220123,강북구
11090,170884,20220124,강북구
11090,171046,20220125,강북구
11090,174910,20220126,강북구
11090,172925,20220127,강북구
11090,177831,20220128,강북구
11090,128280,20220129,강북구
11090,98921,20220130,강북구
11090,79688,20220131,강북구
11090,76078,20220201,강북구
11090,85800,20220202,강북구
11090,162644,20220203,강북구
11090,170643,20220204,강북구
11090,125785,20220205,강북구
11090,93322,20220206,강북구
11090,165265,20220207,강북구
11090,166651,20220208,강북구
11090,168336,20220209,강북구
11090,167550,20220210,강북구
11090,174082,20220211,강북구
11090,133441,20220212,강북구
11090,98919,20220213,강북구
11090,164919,20220214,강북구
11090,163529,20220215,강북구
11090,158175,20220216,강북구
11090,157781,20220217,강북구
11090,159569,20220224,강북구
11090,168309,20220225,강북구
11090,126972,20220226,강북구
11090,99420,20220227,강북구
11090,164716,20220228,강북구
11090,105880,20220301,강북구
11090,174816,20220302,강북구
11090,171082,20220303,강북구
11090,170839,20220304,강북구
11090,133045,20220305,강북구
11090,96230,20220306,강북구
11090,164719,20220307,강북구
11090,168425,20220308,강북구
11090,115008,20220309,강북구
11090,162997,20220310,강북구
11090,170545,20220311,강북구
11090,130750,20220312,강북구
11090,85953,20220313,강북구
11090,165351,20220315,강북구
11090,164103,20220316,강북구
11090,160606,20220317,강북구
11090,166448,20220318,강북구
11090,117191,20220319,강북구
11090,96757,20220320,강북구
11090,163190,20220321,강북구
11090,163868,20220322,강북구
11090,162801,20220323,강북구
11090,162485,20220324,강북구
11090,172152,20220325,강북구
11090,125350,20220326,강북구
11090,102375,20220327,강북구
11090,166536,20220328,강북구
11090,169067,20220329,강북구
11090,165543,20220330,강북구
11090,169301,20220331,강북구
11090,178970,20220401,강북구
11090,140016,20220402,강북구
11090,107432,20220403,강북구
11090,170735,20220404,강북구
11090,172869,20220405,강북구
11090,174330,20220406,강북구
11090,174779,20220407,강북구
11090,183563,20220408,강북구
11090,150124,20220409,강북구
11090,119301,20220410,강북구
11090,179278,20220411,강북구
11090,178687,20220412,강북구
11090,173939,20220413,강북구
11090,176168,20220414,강북구
